X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X23,X24,X25,X27,X28,X29,X30,X31,X32,X33,CLK_PERIOD,MAX_FREQUENCY,POWER_DYNAMIC,POWER_STATIC,UTIL_FF,UTIL_LUT,UTIL_SLICE,UTIL_RAMB,UTIL_DSP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.495,117.716,610.65,2880.47,4389,9852,3235,8,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.976,77.065,415.17,2888.4,3696,6024,2971,190,12
0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,9.975,100.251,505.73,2879.34,3915,7939,2906,8,12
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,8.496,117.702,344.83,2879.31,4295,7107,3038,8,0
0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,7.995,125.078,356.82,2879.24,3772,6667,2643,8,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8.991,111.222,596.28,2880.47,4406,9648,3541,8,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.991,111.222,263.61,2879.19,4275,6999,3004,8,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.453,87.313,688.35,2887.9,3868,8913,3764,140,1
0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8.478,117.952,572.21,2880.08,4362,8885,3195,8,1
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,9.485,105.43,291.92,2878.72,3916,6873,2925,8,0
0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,9.491,105.363,508.43,2879.35,3897,8411,3125,8,0
